id,name,tets,fibered,num_field_max_deg,fund_max_deg,fund_any_nonmonic,fund_torsion_infos,alex_poly,alex_deg,alex_nonmonic,th_taut,taut_tri,Z2_wonky,in_S3,trace_field_deg
27533,o9_10677,9,-1,32.0,2.0,1.0,"[(0,8,0,2),(0,4,1,2),(1,32,0,2),(1,8,0,2),(1,4,1,2)]",9*a^2+30*a+9,2,1,1,jLAwwMQbcbdfgihiihhwhrhwwbg_aBba,0,0,32.0
27534,o9_10678,9,-1,32.0,2.0,1.0,"[(0,2,0,2),(1,32,0,2),(1,8,0,2),(1,4,1,2)]",9*a^2-30*a+9,2,1,1,jLAwwMQbcbdfgihiihhwhrhwwrw_BbBa,0,0,32.0
27538,o9_10682,9,-1,36.0,2.0,1.0,"[(0,4,0,2),(1,36,0,2)]",11*a^2-2*a+11,2,1,1,jLAwLPQcbbdfghiiihqjhjqsswr_aBba,0,0,36.0
27539,o9_10683,9,-1,36.0,2.0,1.0,"[(1,36,0,2)]",11*a^2+2*a+11,2,1,1,jLAwLPQcbbdfghiiihqjhjqssbg_BaaB,0,0,36.0
27541,o9_10685,9,-1,46.0,6.0,1.0,"[(0,46,0,6),(0,20,0,6),(0,5,1,6),(1,46,0,6),(1,30,0,6)]",12*a^4+12*a^3+7*a^2+12*a+12,4,1,3,jLAwwAQbcbdfhgihixxnqwqhxjn_BbaB,0,0,46.0
27542,o9_10686,9,-1,46.0,6.0,1.0,"[(1,46,0,6)]",12*a^4-12*a^3+7*a^2-12*a+12,4,1,3,jLAwwAQbcbdfhgiiixxnqwqhxud_aBbB,0,0,46.0
27546,o9_10690,9,-1,40.0,2.0,1.0,"[(1,40,0,2)]",11*a^2-10*a+11,2,1,1,jLAwwMQbcbdfgihiixhjqjqsscv_BaaB,0,0,40.0
27547,o9_10691,9,-1,40.0,2.0,1.0,"[(0,8,0,2),(0,4,0,2),(1,40,0,2)]",11*a^2+10*a+11,2,1,1,jLAwwMQbcbdfgihiixhjqjqsskn_aBba,0,0,40.0
27561,o9_10705,9,-1,39.0,2.0,1.0,"[(1,39,0,2)]",11*a^2-13*a+11,2,1,1,jLAwwMQbcbdfgihiixhnhrhwwcv_BbBa,0,0,39.0
27562,o9_10706,9,-1,39.0,2.0,1.0,"[(0,12,0,2),(0,3,0,2),(1,39,0,2)]",11*a^2+13*a+11,2,1,1,jLAwwMQbcbdfgihiixhnhrhwwnk_BaaB,0,0,39.0
27572,o9_10716,9,-1,36.0,2.0,1.0,"[(0,14,0,2),(1,36,0,2),(1,18,0,2)]",7*a^2-43*a+7,2,1,1,jLALzAQbcbefhgiiixxnnxknxpe_bBab,0,0,36.0
27573,o9_10717,9,-1,36.0,2.0,1.0,"[(0,18,0,2),(1,36,0,2),(1,18,0,2)]",7*a^2+43*a+7,2,1,1,jLALzAQbcbefhgiiixxnnxknxti_abBb,0,0,36.0
27582,o9_10726,9,-1,26.0,6.0,1.0,"[(0,26,0,6),(0,10,0,6),(1,24,0,6),(1,15,0,6)]",2*a^4+7*a^3+7*a^2+7*a+2,4,1,3,jLALPzQbcbegfhihihhjraahqkj_aBbC,0,0,15.0
27588,o9_10732,9,-1,46.0,6.0,1.0,"[(1,46,0,6)]",12*a^4-12*a^3+5*a^2-12*a+12,4,1,3,jLAwwAQbcbdfghiiihhwqjqxhld_BaBB,0,0,46.0
27589,o9_10733,9,-1,46.0,6.0,1.0,"[(0,46,0,6),(0,26,0,6),(1,46,0,6),(1,28,0,6)]",12*a^4+12*a^3+5*a^2+12*a+12,4,1,3,jLAwwAQbcbdfghihihhwqjqxhnr_BabB,0,0,46.0
27602,o9_10746,9,-1,44.0,6.0,1.0,"[(1,44,0,6),(1,6,0,6),(1,6,0,6)]",11*a^4-11*a^3+18*a^2-11*a+11,4,1,3,jLAwwAQbcbdfghiiixhjqjqqqxh_BabB,0,0,44.0
27603,o9_10747,9,-1,44.0,6.0,1.0,"[(0,40,0,6),(0,15,0,6),(0,15,0,6),(1,44,0,6),(1,32,0,6),(1,8,0,6)]",11*a^4+11*a^3+18*a^2+11*a+11,4,1,3,jLAwwAQbcbdfghihixhjqjqqqjj_BbBa,0,0,44.0
27624,o9_10768,9,-1,36.0,2.0,1.0,"[(0,10,0,2),(1,36,0,2),(1,18,0,2)]",8*a^2-41*a+8,2,1,1,jLALLAQbcbefhgiiixhnsqjsqie_abBa,0,0,36.0
27625,o9_10769,9,-1,36.0,2.0,1.0,"[(0,18,0,2),(1,36,0,2),(1,18,0,2)]",8*a^2+41*a+8,2,1,1,jLALLAQbcbefhgiiixhnsqjsqpt_abBb,0,0,36.0
27634,o9_10778,9,-1,46.0,6.0,1.0,"[(1,46,0,6),(1,16,0,6)]",12*a^4-12*a^3+17*a^2-12*a+12,4,1,3,jLAwwAQbcbdfhgiiixxnqwhhhxq_BbaB,0,0,46.0
27635,o9_10779,9,-1,46.0,6.0,1.0,"[(0,46,0,6),(0,24,0,6),(0,6,1,6),(1,46,0,6),(1,40,0,6)]",12*a^4+12*a^3+17*a^2+12*a+12,4,1,3,jLAwwAQbcbdfhgihixxnqwhhhrw_BbBa,0,0,46.0
27637,o9_10781,9,-1,40.0,6.0,1.0,"[(1,40,0,6),(1,12,0,6),(1,6,1,6)]",8*a^4-8*a^3+21*a^2-8*a+8,4,1,3,jLALzMQbcbefhihiihxwnxnhrqd_baBb,0,0,40.0
27638,o9_10782,9,-1,40.0,6.0,1.0,"[(0,40,0,6),(0,26,0,6),(1,40,0,6),(1,36,0,6)]",8*a^4+8*a^3+21*a^2+8*a+8,4,1,3,jLALzMQbcbefhghiihxwnxnnrdk_bBba,0,0,40.0
27640,o9_10784,9,-1,42.0,6.0,1.0,"[(0,42,0,6),(0,18,0,6),(0,6,0,6),(0,3,0,6),(0,3,0,6),(1,40,0,6),(1,42,0,6)]",11*a^4+11*a^3+19*a^2+11*a+11,4,1,3,jLAwwAQbcbdfghihixhnhrhhhwr_aBba,0,0,42.0
27641,o9_10785,9,-1,42.0,6.0,1.0,"[(1,42,0,6),(1,18,0,6)]",11*a^4-11*a^3+19*a^2-11*a+11,4,1,3,jLAwwAQbcbdfghiiixhnhrhhhqx_BaaB,0,0,42.0
27647,o9_10791,9,-1,30.0,2.0,1.0,"[(0,6,0,2),(0,6,0,2),(1,30,0,2),(1,6,0,2),(1,6,0,2)]",11*a^2+20*a+11,2,1,1,jLAwLPQcbbdfghiiihqjhjqssfo_aBba,0,0,30.0
27648,o9_10792,9,-1,30.0,2.0,1.0,"[(1,30,0,2),(1,6,0,2),(1,6,0,2)]",11*a^2-20*a+11,2,1,1,jLAwLPQcbbdfghiiihqjhjqsssj_BbBa,0,0,30.0
27653,o9_10797,9,-1,52.0,6.0,1.0,"[(1,52,0,6)]",13*a^4-13*a^3+8*a^2-13*a+13,4,1,3,jLAwwAQbcbdfhgiiihxwqwqhxud_aBbB,0,0,52.0
27654,o9_10798,9,-1,52.0,6.0,1.0,"[(0,48,0,6),(0,8,0,6),(0,4,0,6),(0,4,0,6),(0,4,0,6),(0,2,1,6),(1,52,0,6),(1,32,0,6)]",13*a^4+13*a^3+8*a^2+13*a+13,4,1,3,jLAwwAQbcbdfhgihihxwqwqhxjn_BbaB,0,0,52.0
27659,o9_10803,9,-1,32.0,2.0,1.0,"[(0,16,0,2),(1,32,0,2),(1,16,0,2)]",10*a^2+31*a+10,2,1,1,jLAwwMQbcbdfgihiixhjhrhwwbg_aBba,0,0,32.0
27660,o9_10804,9,-1,32.0,2.0,1.0,"[(0,5,1,2),(1,32,0,2),(1,16,0,2)]",10*a^2-31*a+10,2,1,1,jLAwwMQbcbdfgihiixhjhrhwwrw_BbBa,0,0,32.0
27661,o9_10805,9,-1,39.0,2.0,1.0,"[(0,9,0,2),(0,3,0,2),(1,39,0,2)]",12*a^2+3*a+12,2,1,1,jLAwwMQcbbdfgihiihhrxjqsskn_BaaB,0,0,39.0
27662,o9_10806,9,-1,39.0,2.0,1.0,"[(1,39,0,2)]",12*a^2-3*a+12,2,1,1,jLAwwMQcbbdfgihiihhrxjqsscv_BaaB,0,0,39.0
27666,o9_10810,9,-1,35.0,6.0,1.0,"[(0,21,0,6),(0,11,0,6),(1,35,0,6)]",5*a^4+4*a^3+5*a^2+4*a+5,4,1,3,jLALPMPbcbegffhiihhjsqhnxxj_aBbB,0,0,35.0
27669,o9_10813,9,-1,41.0,2.0,1.0,"[(1,41,0,2)]",12*a^2-9*a+12,2,1,1,jLAwwMQbcbdfgihiihhwqjqsscv_BaaB,0,0,41.0
27670,o9_10814,9,-1,41.0,2.0,1.0,"[(0,10,0,2),(0,5,1,2),(1,41,0,2)]",12*a^2+9*a+12,2,1,1,jLAwwMQbcbdfgihiihhwqjqsskn_aBba,0,0,41.0
